,Statistic Label,Year,Region,UNIT,VALUE,Adjusted Value
0,All Livestock,2010,State,Euro Million,2259.6,2748.905109489051
1,All Livestock,2010,Northern and Western,Euro Million,702.0,854.014598540146
2,All Livestock,2010,Border,Euro Million,394.7,480.17031630170317
3,All Livestock,2010,West,Euro Million,307.3,373.8442822384429
4,All Livestock,2010,Southern,Euro Million,1055.7,1284.3065693430658
5,All Livestock,2010,Mid-West,Euro Million,370.3,450.4866180048662
6,All Livestock,2010,South-East,Euro Million,308.0,374.69586374695865
7,All Livestock,2010,South-West,Euro Million,377.5,459.2457420924574
8,All Livestock,2010,Eastern and Midland,Euro Million,501.9,610.5839416058394
9,All Livestock,2010,Dublin and Mid-East,Euro Million,230.3,280.17031630170317
10,All Livestock,2010,Midland,Euro Million,271.6,330.4136253041363
11,All Livestock,2011,State,Euro Million,2644.8,3129.940828402367
12,All Livestock,2011,Northern and Western,Euro Million,819.5,969.8224852071006
13,All Livestock,2011,Border,Euro Million,459.6,543.905325443787
14,All Livestock,2011,West,Euro Million,360.0,426.0355029585799
15,All Livestock,2011,Southern,Euro Million,1253.2,1483.076923076923
16,All Livestock,2011,Mid-West,Euro Million,446.1,527.9289940828403
17,All Livestock,2011,South-East,Euro Million,355.6,420.82840236686394
18,All Livestock,2011,South-West,Euro Million,451.5,534.3195266272189
19,All Livestock,2011,Eastern and Midland,Euro Million,572.1,677.0414201183432
20,All Livestock,2011,Dublin and Mid-East,Euro Million,262.9,311.12426035502955
21,All Livestock,2011,Midland,Euro Million,309.2,365.91715976331363
22,All Livestock,2012,State,Euro Million,3065.0,3601.6451233842545
23,All Livestock,2012,Northern and Western,Euro Million,937.6,1101.762632197415
24,All Livestock,2012,Border,Euro Million,515.1,605.2878965922446
25,All Livestock,2012,West,Euro Million,422.5,496.47473560517045
26,All Livestock,2012,Southern,Euro Million,1451.0,1705.0528789659227
27,All Livestock,2012,Mid-West,Euro Million,516.9,607.4030552291423
28,All Livestock,2012,South-East,Euro Million,416.6,489.54171562867225
29,All Livestock,2012,South-West,Euro Million,517.5,608.1081081081082
30,All Livestock,2012,Eastern and Midland,Euro Million,676.4,794.8296122209166
31,All Livestock,2012,Dublin and Mid-East,Euro Million,308.3,362.2796709753232
32,All Livestock,2012,Midland,Euro Million,368.1,432.5499412455935
33,All Livestock,2013,State,Euro Million,3147.6,3685.7142857142853
34,All Livestock,2013,Northern and Western,Euro Million,942.4,1103.512880562061
35,All Livestock,2013,Border,Euro Million,517.2,605.6206088992975
36,All Livestock,2013,West,Euro Million,425.2,497.89227166276345
37,All Livestock,2013,Southern,Euro Million,1497.4,1753.3957845433256
38,All Livestock,2013,Mid-West,Euro Million,529.1,619.5550351288057
39,All Livestock,2013,South-East,Euro Million,426.7,499.6487119437939
40,All Livestock,2013,South-West,Euro Million,541.6,634.192037470726
41,All Livestock,2013,Eastern and Midland,Euro Million,707.9,828.9227166276346
42,All Livestock,2013,Dublin and Mid-East,Euro Million,325.0,380.56206088992974
43,All Livestock,2013,Midland,Euro Million,382.9,448.36065573770486
44,All Livestock,2014,State,Euro Million,3070.1,3582.3803967327885
45,All Livestock,2014,Northern and Western,Euro Million,921.7,1075.4959159859977
46,All Livestock,2014,Border,Euro Million,503.8,587.8646441073513
47,All Livestock,2014,West,Euro Million,417.9,487.63127187864643
48,All Livestock,2014,Southern,Euro Million,1444.5,1685.5309218203033
49,All Livestock,2014,Mid-West,Euro Million,519.5,606.1843640606768
50,All Livestock,2014,South-East,Euro Million,404.2,471.64527421236875
51,All Livestock,2014,South-West,Euro Million,520.8,607.7012835472578
52,All Livestock,2014,Eastern and Midland,Euro Million,703.9,821.3535589264877
53,All Livestock,2014,Dublin and Mid-East,Euro Million,331.9,387.28121353558925
54,All Livestock,2014,Midland,Euro Million,372.0,434.0723453908985
55,All Livestock,2015,State,Euro Million,3452.5,4038.0116959064326
56,All Livestock,2015,Northern and Western,Euro Million,1020.0,1192.982456140351
57,All Livestock,2015,Border,Euro Million,546.5,639.1812865497076
58,All Livestock,2015,West,Euro Million,473.5,553.8011695906432
59,All Livestock,2015,Southern,Euro Million,1625.1,1900.7017543859647
